品名,CAS号
"1,2-二氯乙烯",540-59-0
甲乙醚,540-67-0
乙基硫酸,540-82-9
"2,2,4-三甲基戊烷",540-84-1
乙酸叔丁酯,540-88-5
"2,4,6-三硝基苯磺酸钠",5400-70-4
7-甲基异喹啉,54004-38-5
"2,7-二硝基芴",5405-53-8
1-碘-3-甲基丁烷,541-28-6
3-甲基-1-丁硫醇,541-31-1
亚硝酸异丙酯,541-42-4
盐酸间苯二胺,541-69-5
硫酸间苯二胺,541-70-8
"1,3-二氯苯",541-73-1
氯乙酸酐,541-88-8
2-硝基苯胂酸,5410-29-7
硼酸三异丙酯,5419-55-6
乙酸苯胺,542-14-3
硝酸苯胺,542-15-4
硫酸苯胺,542-16-5
4-甲基戊腈,542-54-1
甲酸异丁酯,542-55-2
亚硝酸异丁酯,542-56-3
氰化钡,542-62-1
1-碘丁烷,542-69-8
"1,3-二氯丙烯",542-75-6
3-氯丙腈,542-76-7
氰化钴(Ⅱ),542-84-7
二(氯甲基)醚,542-88-1
硫氰酸乙酯,542-90-5
"1,3-环戊二烯",542-92-7
丁二酰氯,543-20-4
氯甲酸异丁酯,543-27-1
1-氯戊烷,543-59-9
亚硝酸正丙酯,543-67-9
乙酸钡,543-80-6
乙酸铍,543-81-7
硝酸异戊酯,543-87-3
甲基戊二烯,54363-49-4
二异戊醚,544-01-4
氯代正己烷,544-10-5
戊二腈,544-13-8
亚硝酸正丁酯,544-16-1
"1,3,5-环庚三烯",544-25-2
氰化亚铜,544-92-3
二甲基锌,544-97-8
三氯乙腈,545-06-2
三-(1-吖丙啶基)氧化膦,545-55-1
钛酸四异丙酯,546-68-9
"过氧化双丙酮醇[含量≤57%,含B型稀释剂≥26%,含水≥8%]",54693-46-8
异丁酸甲酯,547-63-7
2-羟基丙酸甲酯,547-64-8
"O,O-二甲基-O-(4-甲硫基-3-甲基苯基)硫代磷酸酯",55-38-9
硝化甘油[按质量含有不低于40%不挥发、不溶于水的减敏剂],55-63-0
硝酸苯汞,55-68-5
异硫氰酸-1-萘酯,551-06-4
盐酸-1-萘胺,552-46-5
乙二酸二甲酯,553-90-2
"2,4-二氯苯胺",554-00-7
丙酸甲酯,554-12-1
3-硝基苯酚,554-84-7
3-硝基苯甲醚,555-03-3
4-硝基苯乙腈,555-21-5
二苯基镁,555-54-4
二硝基甘脲,55510-04-8
异戊酸甲酯,556-24-1
3-碘-1-丙烯,556-56-9
硫代异氰酸甲酯,556-61-6
硫氰酸甲酯,556-64-9
硝基胍,556-88-7
硝基脲,556-89-8
甲基丙基醚,557-17-5
二乙基镁,557-18-6
氰化镍,557-19-7
二乙基锌,557-20-0
氰化锌,557-21-1
乙基烯丙基醚,557-31-3
二烯丙基醚,557-40-4
2-氯丙烯,557-98-2
"3,3-二-(叔丁基过氧)丁酸乙酯[77%＜含量≤100%]",55794-20-2
四溴甲烷,558-13-4
2-碘-2-甲基丙烷,558-17-8
三硝基萘,55810-17-8
"3,3'-二氨基二丙胺",56-18-8
四氯化碳,56-23-5
"六氢-3a,7a-二甲基-4,7-环氧异苯并呋喃-1,3-二酮",56-25-7
三丁基氧化锡,56-35-9
醋酸三丁基锡,56-36-0
"O,O-二乙基-O-(3-氯-4-甲基香豆素-7-基)硫代磷酸酯",56-72-4
"3-[(3-联苯-4-基)-1,2,3,4-四氢-1-萘基]-4-羟基香豆素",56073-07-5
硝基马钱子碱,561-20-6
"3,3-二甲基戊烷",562-49-2
"O,O,O',O'-四乙基-S,S'-亚甲基双(二硫代磷酸酯)",563-12-2
"3,3-二甲基己烷",563-16-6
二氯化乙基铝,563-43-9
3-甲基-1-丁烯,563-45-1
2-甲基-1-丁烯,563-46-2
3-氯-2-甲基丙烯,563-47-3
3-氯-1-丁烯,563-52-0
"1,2-二氯丙烯",563-54-2
乙酸亚铊,563-68-8
2-溴丙酰溴,563-76-8
"2,3-二甲基-1-丁烯",563-78-0
"2,3-二甲基-2-丁烯",563-79-1
3-甲基-2-丁酮,563-80-4
"2,2,3-三甲基戊烷",564-02-3
"2,3-二甲基戊烷",565-59-3
3-甲基-2-戊酮,565-61-7
2-甲基-3-戊醇,565-67-3
2-甲基-3-戊酮,565-69-5
"2,3,4-三甲基戊烷",565-75-3
"2,4-二甲基-3-戊酮",565-80-0
全氟辛基磺酸四乙基铵,56773-42-3
甲胂酸,56960-31-7
异硫氰酸烯丙酯,57-06-7
三(2-甲基氮丙啶)氧化磷,57-39-6
"1,2,4,5,6,7,8,8-八氯-2,3,3a,4,7,7a-六氢-4,7-亚甲基茚",57-74-9
α-氯化筒箭毒碱,57-94-3
"2,6-二硝基苯酚[含水≥15%]",573-56-8
硅铝,57485-31-1
"3-溴-1,2-二甲基苯",576-23-8
"2,3-二氯苯酚",576-24-9
"2,6-二甲苯酚",576-26-1
2-硝基溴苯,577-19-5
2-乙基苯胺,578-54-1
二苯基胺氯胂,578-94-9
盐酸马钱子碱,5786-96-9
二硝基邻甲酚钾,5787-96-2
酸式硫酸三乙基锡,57875-67-9
溴苯乙腈,5798-79-8
"γ-(1,2,4,5/3,6)-六氯环己烷",58-89-9
"2,3,4,6-四氯苯酚",58-90-2
3-氨基喹啉,580-17-6
"1,1,3,3-四甲基丁基氢过氧化物[含量≤100%]",5809-08-5
花青甙,581-64-6
2-硝基萘,581-89-5
乳酸锑,58164-88-8
"S-乙基亚磺酰甲基-O,O-二异丙基二硫代磷酸酯",5827-05-4
苯甲酸汞,583-15-3
"3,4-二甲基己烷",583-48-2
"1,2-二溴苯",583-53-9
"1,2-二甲基环己烷",583-57-3
"3,4-二甲基吡啶",583-58-4
"4-溴-1,2-二甲基苯",583-71-1
"2,5-二氯苯酚",583-78-8
"3,4-二氯苯基偶氮硫脲",5836-73-7
"1-溴-2,4-二硝基苯",584-48-5
"甲苯-2,4-二异氰酸酯",584-84-9
"2,3-二甲基己烷",584-94-1
3-硝基溴苯,585-79-5
萜品油烯,586-62-9
4-溴苯甲酰氯,586-75-4
4-硝基溴苯,586-78-7
二苯基汞,587-85-9
3-甲基己烷,589-34-4
3-己酮,589-38-8
"2,4-二甲基己烷",589-43-5
4-甲基庚烷,589-53-7
3-甲基庚烷,589-81-1
"1,4-二甲基环己烷",589-90-2
"2,5-二甲基吡啶",589-93-5
十六烷基三氯硅烷,5894-60-0
4-氯间甲酚,59-50-7
4-氯汞苯甲酸,59-85-8
丙酸正丁酯,590-01-2
氯乙酸丁酯,590-02-3
"2,2-二甲基戊烷",590-35-2
2-甲基-2-戊醇,590-36-3
"1,1-二甲基环己烷",590-66-9
"2,2-二甲基己烷",590-73-8
3-甲基丁醛,590-86-3
3-溴丙酸,590-92-1
三氟化硼乙酸酐,591-00-4
乙酰替硫脲,591-08-2
3-溴甲苯,591-17-3
3-溴苯胺,591-19-5
3-溴苯酚,591-20-8
"1,3-二甲基环己烷",591-21-9
"3,5-二甲基吡啶",591-22-0
3-氨基苯酚,591-27-5
丙酸仲丁酯,591-34-4
4-甲基-1-环己烯,591-47-9
2-甲基己烷,591-76-4
2-己酮,591-78-6
乙酸烯丙酯,591-87-7
氰化汞钾,591-89-9
"1,4-戊二烯[稳定的]",591-93-5
1-氯-2-丁烯,591-97-9
氰化钙,592-01-8
氰化汞,592-04-1
氰化铅,592-05-2
2-甲基庚烷,592-27-8
氯甲酸正丁酯,592-34-7
1-己烯,592-41-6
"1,5-己二烯",592-42-7
2-己烯,592-43-8
"1,4-己二烯",592-45-0
"2,4-己二烯",592-46-1
"1,3-己二烯",592-48-3
2-溴乙基乙醚,592-55-2
"1,3-环己二烯",592-57-4
1-庚烯,592-76-7
2-庚烯,592-77-8
3-庚烯,592-78-9
甲酸正丁酯,592-84-7
硫氰酸汞,592-85-8
二烯丙基硫醚,592-88-1
氟甲烷,593-53-3
溴乙烯[稳定的],593-60-2
三甲基硼,593-90-8
丙炔和丙二烯混合物[稳定的],59355-75-8
"2,4,4-三甲基戊基-2-过氧化苯氧基乙酸酯[在溶液中,含量≤37%]",59382-51-3
2-氯-2-甲基丁烷,594-36-5
三碘乙酸,594-68-3
"1,1-二氯-1-硝基乙烷",594-72-9
"2,2,3',3'-四甲基丁烷",594-82-1
"2,2-二硝基丙烷",595-49-3
四苯基锡,595-90-4
四乙基锡,597-64-8
水杨酸汞,5970-32-1
乙基二氯胂,598-14-1
三溴乙烯,598-16-3
溴乙酰溴,598-21-0
溴化丙酰,598-22-1
溴丙酮,598-31-2
2-溴丙酸,598-72-1
三氟溴乙烯,598-73-2
3-甲基-2-丁醇,598-75-4
2-氯丙酸,598-78-7
"2,2-二甲基丙酸甲酯",598-98-1
三氯乙酸甲酯,598-99-2
D-苎烯,5989-27-5
2-巯基乙醇,60-24-2
乙醚,60-29-7
2-溴-2-甲基丙酸乙酯,600-00-0
2-硝基丁烷,600-24-8
1-氯-1-硝基丙烷,600-25-9
"1,8-二硝基萘",602-38-0
硝基苊,602-87-9
三硝基间甲酚,602-99-3
三苯基磷,603-35-0
2-戊醇,6032-29-7
"2,4-二硝基萘酚",605-69-6
"1,5-二硝基萘",605-71-0
"2,6-二硝基甲苯",606-20-2
"2,6-二硝基苯胺",606-22-4
2-氯间甲酚,608-26-4
"2,3-二氯苯胺",608-27-5
"2,6-二氯苯胺",608-31-1
"1,2,3,4,5,6-六氯环己烷",608-73-1
五氯苯,608-93-5
4-溴-2-氯氟苯,60811-21-4
2-甲基-3-乙基戊烷,609-26-7
2-氯苯甲酰氯,609-65-4
2-硝基碘苯,609-73-4
2-硝基苯甲酰氯,610-14-0
"2,4-二硝基氯化苄",610-57-1
2-硝基苯乙醚,610-67-3
"2,4-二氯硝基苯",611-06-3
8-甲基喹啉,611-32-5
2-丁烯-1-醇,6117-91-5
邻硝基乙苯,612-22-6
2-硝基氯化苄,612-23-7
盐酸-2-萘胺,612-52-2
7-甲基喹啉,612-60-2
"盐酸-3,3'-二甲基-4,4'-二氨基联苯",612-82-8
"盐酸-3,3'-二氯联苯胺",612-83-9
"1,3-二硝基丙烷",6125-21-9
"N,N-二丁基苯胺",613-29-6
"N,N-二乙基对甲苯胺",613-48-9
过氧苯甲酸叔丁酯[77%＜含量≤100%],614-45-9
盐酸邻苯二胺,615-28-1
2-溴苯胺,615-36-1
"硫酸-2,5-二氨基甲苯",615-50-9
"2,4-二溴苯胺",615-57-6
6-氯间甲酚,615-74-7
碳酸二甲酯,616-38-6
3-甲基噻吩,616-44-4
2-吡咯酮,616-45-5
"N-(4-氯-2-甲基苯基)-N´,N´-二甲基甲脒",6164-98-3
异丁酸异丙酯,617-50-5
3-乙基戊烷,617-78-7
二乙基氨基氰,617-83-4
三乙基锑,617-85-6
糠胺,617-89-0
多氯三联苯,61788-33-8
环烷酸钴[粉状的],61789-51-3
树脂酸铝,61789-65-9
3-硝基苯胂酸,618-07-5
间异丙基苯酚,618-45-1
"3,5-二硝基苯胺",618-87-1
3-硝基氯化苄,619-23-8
"3-硝基-N,N-二甲基苯胺",619-31-8
4-氰基苯甲酸,619-65-8
4-硝基苯甲酰胺,619-80-7
硝酸重氮苯,619-97-6
3-乙基己烷,619-99-8
乙酸苯汞,62-38-4
苯胺,62-53-3
硫脲,62-56-6
"O,O-二甲基-O-(2,2-二氯乙烯基)磷酸酯",62-73-7
N-亚硝基二甲胺,62-75-9
3-甲基苯甲腈,620-22-4
3-乙氧基苯胺,621-33-0
苯胩化二氯,622-44-6
乙酸环己酯,622-45-7
N-乙基对甲苯胺,622-57-1
4-二甲氨基偶氮苯-4'-胂酸,622-68-4
4-甲基苯乙烯[稳定的],622-97-9
1-乙基丁醇,623-37-0
正丁酸甲酯,623-42-7
丁烯酸甲酯,623-43-8
"1,2-二氯二乙醚",623-46-1
碘乙酸乙酯,623-48-3
丁烯酸乙酯,623-70-1
3-氯丙酸乙酯,623-71-2
重氮乙酸乙酯,623-73-4
碳酸二丙酯,623-96-1
盐酸对苯二胺,624-18-0
正戊酸甲酯,624-24-8
丙酸正戊酯,624-54-4
亚硝酸甲酯,624-91-9
二硫化二甲基,624-92-0
2-甲基-2-戊烯,625-27-4
异戊腈,625-28-5
仲戊胺,625-30-9
甲酸异丙酯,625-55-8
硫氰酸异丙酯,625-59-2
"2,5-二甲基呋喃",625-86-5
3-氯氟苯,625-98-9
二仲丁胺,626-23-3
"3,5-二氯苯胺",626-43-7
3-甲基哌啶,626-56-2
4-甲基哌啶,626-58-4
N-甲基哌啶,626-67-5
1-甲基戊醇,626-93-7
1-硝基丁烷,627-05-4
硝酸正丙酯,627-13-4
1-戊炔,627-19-0
3-氯-1-丙醇,627-30-5
二乙基硒,627-53-2
"2,5-二甲基-1,5-己二烯",627-58-7
丁烯二酰氯[反式],627-63-4
1-碘戊烷,628-17-1
甲基正丁基醚,628-28-4
乙基丙基醚,628-32-0
"1,4-环己二烯",628-41-1
乙酸正戊酯,628-63-7
1-庚炔,628-71-7
己腈,628-73-9
"1,5-二氯戊烷",628-76-2
乙基正丁基醚,628-81-9
雷汞[湿的，按质量含水或乙醇和水的混合物不低于20％],628-86-4
环庚烯,628-92-2
8-甲基异喹啉,62882-00-2
5-甲基异喹啉,62882-01-3
1-辛炔,629-05-0
庚腈,629-08-3
乙二醇二乙醚,629-14-1
"1,3,5,7-环辛四烯",629-20-9
甲酸正己酯,629-33-4
辛二腈,629-40-3
甲氧基乙酸甲酯,6290-49-9
一氧化碳,630-08-0
硒脲,630-10-4
毒毛旋花苷G,630-60-4
次磷酸,6303-21-5
乙酸亚汞,631-60-7
"1,1,3,3-四氯丙酮",632-21-3
"2,4,6-三硝基二甲苯",632-92-8
萜烃,63394-00-3
"1,2,3,4-四氯代苯",634-66-2
"1,2,3,5-四氯代苯",634-90-2
"2,4,6-三氯苯胺",634-93-5
"2,4,5-三氯苯胺",636-30-6
对硝基苯甲酰肼,636-97-5
4-硝基碘苯,636-98-6
丙酸异丙酯,637-78-5
正丁酸异丙酯,638-11-9
戊酰氯,638-29-9
甲酸正戊酯,638-49-3
二碘化苯胂,6380-34-3
"4,6-二硝基-2-氨基苯酚锆",63868-82-6
亚硝酸锌铵,63885-01-8
葡萄糖酸汞,63937-14-4
氯四氟乙烷,63938-10-3
,63951-45-1
亚砷酸铁,63989-69-5
3-异丙基苯基-N-氨基甲酸甲酯,64-00-6
乙醇[无水],64-17-5
甲酸,64-18-6
乙酸[含量＞80%],64-19-7
硫酸二乙酯,64-67-5
碘乙酸,64-69-7
"O,O-二甲基-S-(2-乙硫基乙基)二硫代磷酸酯",640-15-3
三碘化锑,64013-16-7
硅铁锂,64082-35-5
2-重氮-1-萘酚-4-磺酸钠,64173-96-2
甲氧基异氰酸甲酯,6427-21-0
过氧化乙酰苯甲酰[在溶液中含量≤45%],644-31-5
异丁酸正丙酯,644-49-5
二氯化膦苯,644-97-3
3-硝基碘苯,645-00-1
"1,3-二氧戊环",646-06-0
庚二腈,646-20-8
"硝酸铵[含可燃物＞0.2%,包括以碳计算的任何有机物,但不包括任何其它添加剂]",6484-52-2
酒石酸化烟碱,65-31-6
"硫酸-2,4-二氨基甲苯",65321-67-7
碳酸亚铊,6533-73-9
煤焦酚,65996-83-0
煤焦沥青,65996-93-2
正己醛,66-25-1
"3-[2-(3,5-二甲基-2-氧代环己基)-2-羟基乙基]戊二酰胺",66-81-9
"3,5-二甲基苯甲酰氯",6613-44-1
"双过氧化十二烷二酸[含量≤42%,含硫酸钠≥56%]",66280-55-5
甲醇,67-56-1
2-丙醇,67-63-0
丙酮,67-64-1
三氯甲烷,67-66-3
六氯乙烷,67-72-1
四氰基代乙烯,670-54-2
"2-氯-4,5-二甲基苯基-N-甲基氨基甲酸酯",671-04-5
"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[90%＜含量≤100%]",6731-36-8
"O,O-二乙基-O-(2,2-二氯-1-β-氯乙氧基乙烯基)-磷酸酯",67329-01-5
乙酰基乙烯酮[稳定的],674-82-8
"3,3-二-(叔戊基过氧)丁酸乙酯[含量≤67%,含A型稀释剂≥33%]",67567-23-1
巯基乙酸,68-11-1
"N,N-二甲基甲酰胺",68-12-2
正硅酸甲酯,681-84-5
五氰金酸四钾,68133-87-9
"叔戊基过氧新癸酸酯[含量≤77%,含B型稀释剂≥23%]",68299-16-1
二丁基二氯化锡,683-18-1
偏硅酸钠,6834-92-0
六氟丙酮,684-16-2
四聚丙烯,6842-15-5
液化石油气,68476-85-7
叔戊基过氧-2-乙基己酸酯[含量≤100%],686-31-7
"2,2’,4,4’,5,5’-六溴二苯醚",68631-49-2
三丁基氢化锡,688-73-3
硅锂,68848-64-6
七溴二苯醚,68928-80-3
树脂酸钴,68956-82-1
异庚烯,68975-47-3
4-甲基-1-戊烯,691-37-2
1-己炔,693-02-7
二乙二醇二硝酸酯[含不挥发、不溶于水的减敏剂≥25%],693-21-0
1-甲基-1-环戊烯,693-89-0
"1,2,5,6-四氢吡啶",694-05-3
环己二胺,694-83-7
铁铈齐,69523-06-4
(RS)-2-[4-(5-三氟甲基-2-吡啶氧基)苯氧基]丙酸丁酯,69806-50-4
溴乙酰苯,70-11-1
"二-(2-羟基-3,5,6-三氯苯基)甲烷",70-30-4
"1-氟-2,4-二硝基苯",70-34-8
全氟辛基磺酸二乙醇铵,70225-14-8
2-环己基丁烷,7058-01-7
"N,N-二异丙基乙胺",7087-68-5
1-丙醇,71-23-8
氯化琥珀胆碱,71-27-2
正丁醇,71-36-3
1-戊醇,71-41-0
苯,71-43-2
"1,1,1-三氯乙烷",71-55-6
二苯基氯胂,712-48-1
2-溴苯甲酰氯,7154-66-7
"二硫代-4,4'-二氨基代二苯",722-27-0
"O,O-二甲基-S-(酞酰亚胺基甲基)二硫代磷酸酯",732-11-6
甲烷,74-82-8
溴甲烷,74-83-9
乙烷,74-84-0
乙烯,74-85-1
乙炔,74-86-2
氯甲烷,74-87-3
碘甲烷,74-88-4
一甲胺[无水],74-89-5
氢氰酸[含量≤20%],74-90-8
甲硫醇,74-93-1
二溴甲烷,74-95-3
溴乙烷,74-96-4
氯溴甲烷,74-97-5
丙烷,74-98-6
"O,O-二异丙基-S-(2-苯磺酰胺基)乙基二硫代磷酸酯",741-58-2
"盐酸-3,3'-二氨基联苯胺",7411-49-6
铝粉,7429-90-5
氪[压缩的或液化的],7439-90-9
金属镧[浸在煤油中的],7439-91-0
锂,7439-93-2
镁,7439-95-4
金属锰粉[含水≥25%],7439-96-5
汞,7439-97-6
金属钕[浸在煤油中的],7440-00-8
氖[压缩的或液化的],7440-01-9
钾,7440-09-7
金属铷,7440-17-7
硅粉[非晶形的],7440-21-3
钠,7440-23-5
金属锶,7440-24-6
铊,7440-28-0
金属钛粉[干的],7440-32-6
锑粉,7440-36-0
氩[压缩的或液化的],7440-37-1
砷,7440-38-2
钡,7440-39-3
铍粉,7440-41-7
镉[非发火的],7440-43-9
铈[粉、屑],7440-45-1
金属铯,7440-46-2
镓,7440-55-3
金属铪粉,7440-58-6
氦[压缩的或液化的],7440-59-7
氙[压缩的或液化的],7440-63-3
锌尘,7440-66-6
金属锆,7440-67-7
钙,7440-70-2
二氧化硒,7446-08-4
二氧化硫,7446-09-5
三氧化硫[稳定的],7446-11-9
硫酸铅[含游离酸＞3%],7446-14-2
三氯化铝[无水],7446-70-0
氯化铜,7447-39-4
二硫化硒,7488-56-4
砷化汞,749262-24-6
氯乙烷,75-00-3
氯乙烯[稳定的],75-01-4
氟乙烯[稳定的],75-02-5
碘乙烷,75-03-6
乙胺,75-04-7
乙腈,75-05-8
乙醛,75-07-0
乙硫醇,75-08-1
二氯甲烷,75-09-2
二氟甲烷,75-10-5
二碘甲烷,75-11-6
二硫化碳,75-15-0
甲基溴化镁[浸在乙醚中],75-16-1
甲硫醚,75-18-3
环丙烷,75-19-4
碳化钙,75-20-7
环氧乙烷,75-21-8
三氟化硼乙胺,75-23-0
三甲基铝,75-24-1
三溴甲烷,75-25-2
2-溴丙烷,75-26-3
异丁烷,75-28-5
2-氯丙烷,75-29-6
2-碘丙烷,75-30-9
2-氨基丙烷,75-31-0
异丙硫醇,75-33-2
"1,1-二氯乙烷",75-34-3
"1,1-二氯乙烯",75-35-4
乙酰氯,75-36-5
"1,1-二氟乙烷",75-37-6
"1,1-二氟乙烯",75-38-7
1-氨基乙醇,75-39-8
二氯一氟甲烷,75-43-4
一氯二氟甲烷,75-45-6
三氟甲烷,75-46-7
三碘甲烷,75-47-8
三甲胺[无水],75-50-3
硝基甲烷,75-52-5
甲基二氯硅烷,75-54-7
"1,2-环氧丙烷",75-56-9
四甲基氢氧化铵,75-59-2
二甲胂酸,75-60-5
二溴二氟甲烷,75-61-6
溴三氟甲烷,75-63-8
叔丁胺,75-64-9
2-甲基-2-丙醇,75-65-0
叔丁基硫醇,75-66-1
"1-氯-1,1-二氟乙烷",75-68-3
三氯一氟甲烷,75-69-4
二氯二氟甲烷,75-71-8
一氯三氟甲烷,75-72-9
四氟甲烷,75-73-0
四甲基铅,75-74-1
甲基磺酸,75-75-2
四甲基硅烷,75-76-3
三甲基氯硅烷,75-77-4
二甲基二氯硅烷,75-78-5
甲基三氯硅烷,75-79-6
"2,2-二甲基丁烷",75-83-2
2-甲基-2-丁醇,75-85-4
三氯乙醛[稳定的],75-87-6
"1-氯-2,2,2-三氟乙烷",75-88-7
"2,2,2-三氟乙醇",75-89-8
"过氧化氢叔丁基[79%＜含量≤90%,含水≥10%]",75-91-2
乙烯基三氯硅烷[稳定的],75-94-5
三溴乙酸,75-96-7
甲基叔丁基甲酮,75-97-8
丁基三氯硅烷,7521-80-4
四氯化钛,7550-45-0
四磷酸六乙酯,757-58-4
三氟化硼乙酸络合物,7578-36-1
氢化锂,7580-67-8
五氯乙烷,76-01-7
三氯乙酰氯,76-02-8
三氯乙酸,76-03-9
三氟乙酸,76-05-1
"1,1,2-三氯-1,2,2-三氟乙烷",76-13-1
二氯四氟乙烷,76-14-2
一氯五氟乙烷,76-15-3
六氟乙烷,76-16-4
八氟丙烷,76-19-7
"1,4,5,6,7,8,8-七氯-3a,4,7,7a-四氢-4,7-亚甲基茚",76-44-8
三苯基氯硅烷,76-86-8
三苯基氢氧化锡,76-87-9
3-甲基-1-戊烯,760-20-3
2-乙基-1-丁烯,760-21-4
高氯酸钠,7601-89-0
高氯酸[浓度＞72%],7601-90-3
过氯酰氟,7616-94-6
过氧化二癸酰[含量≤100%],762-12-9
过氧化二正辛酰[含量≤100%],762-16-3
3-溴丙酰溴,7623-16-7
2-甲基-1-戊烯,763-29-1
亚硫酸氢钠,7631-90-5
硝酸钠,7631-99-4
亚硝酸钠,7632-00-0
四氯化钒,7632-51-1
三氟化硼,7637-07-2
"2,5-二甲基-2,4-己二烯",764-13-6
2-己炔,764-35-2
"1,4-二氯-2-丁烯",764-41-0
砷酸铅,7645-25-2
氢化钠,7646-69-7
四氯化锡[无水],7646-78-8
氯化钴,7646-79-9
氯化锌,7646-85-7
硫酸氢钾,7646-93-7
氯化氢[无水],7647-01-0
盐酸,7647-01-0
五氟化磷,7647-19-0
"2,3-环氧-1-丙醛",765-34-4
N-乙基哌啶,766-09-6
"4,4-二甲基-1,3-二噁烷",766-15-4
正磷酸,7664-38-2
氟化氢[无水],7664-39-3
氢氟酸,7664-39-3
氨,7664-41-7
硫酸,7664-93-9
4-苯基-1-丁烯,768-56-9
硫酸氢钠,7681-38-1
氟化钠,7681-49-4
次氯酸钠溶液[含有效氯＞5%],7681-52-9
碘酸钠,7681-55-2
氢化钾,7693-26-7
氢化镁,7693-27-8
硝酸,7697-37-2
二丁基二(十二酸)锡,77-58-7
二聚环戊二烯,77-73-6
3-甲基-3-戊醇,77-74-7
3-甲基-1-戊炔-3-醇,77-75-8
"2,2-二甲氧基丙烷",77-76-9
硫酸二甲酯,77-78-1
四乙基氢氧化铵,77-98-5
"(E)-O,O-二甲基-O-[1-甲基-2-(1-苯基-乙氧基甲酰)乙烯基]磷酸酯",7700-17-6
硫磺,7704-34-9
氢化钛,7704-98-5
氢化锆,7704-99-6
三氯化钛,7705-07-9
三氯化铁,7705-08-0
过氧化氢四氢化萘,771-29-9
氯化镍,7718-54-9
三氯化钒,7718-98-1
氯化亚砜,7719-09-7
三氯化磷,7719-12-2
五氯化钽,7721-01-9
高锰酸钾,7722-64-7
过氧化氢溶液[含量＞8%],7722-84-1
红磷,7723-14-0
溴,7726-95-6
三溴化铝[无水],7727-15-3
三氯氧化钒,7727-18-6
过二硫酸钾,7727-21-1
氮[压缩的或液化的],7727-37-9
过二硫酸铵,7727-54-0
铬酸溶液,7738-94-5
三聚异丁烯,7756-94-7
硝酸钾,7757-79-1
溴酸钾,7758-01-2
碘酸钾,7758-05-6
亚硝酸钾,7758-09-0
亚氯酸钠,7758-19-2
铬酸铅,7758-97-6
二苯甲基溴,776-74-9
硝酸银,7761-88-8
亚硫酸氢钾,7773-03-7
二碘化汞,7774-29-0
氯酸钠,7775-09-9
铬酸钠,7775-11-3
连二亚硫酸钠,7775-14-6
过硫酸钠,7775-27-1
砷酸,7778-39-4
砷酸氢二钠,7778-43-0
砷酸钙,7778-44-1
重铬酸钾,7778-50-9
次氯酸钙,7778-54-3
次氯酸钾溶液[含有效氯＞5%],7778-66-7
高氯酸钾,7778-74-7
连二亚硫酸锌,7779-86-4
硝酸锌,7779-88-6
氘,7782-39-0
氧[压缩的或液化的],7782-44-7
硒,7782-49-2
锗烷,7782-65-2
碘酸,7782-68-5
亚硝基硫酸,7782-78-7
硝酸亚汞,7782-86-7
氨基化锂,7782-89-0
亚硫酸,7782-99-2
亚硒酸,7783-00-8
硫化氢,7783-06-4
硒化氢[无水],7783-07-5
硒酸,7783-08-6
碘化钾汞,7783-33-7
硫酸汞,7783-35-9
硫酸亚汞,7783-36-0
氟化汞,7783-39-3
氟化铅,7783-46-2
氟化锌,7783-49-5
三氟化氮,7783-54-2
三氟化磷,7783-55-3
三氟化锑,7783-56-4
四氟化铅,7783-59-7
四氟化硫,7783-60-0
四氟化硅,7783-61-1
氟化锆,7783-64-4
五氟化碘,7783-66-6
五氟化锑,7783-70-2
六氟化硒,7783-79-1
六氟化碲,7783-80-4
六氟化钨,7783-82-6
溴酸银,7783-89-3
氯酸银,7783-92-8
高氯酸银,7783-93-9
碘酸银,7783-97-3
高锰酸银,7783-98-4
重铬酸银,7784-02-3
亚砷酸银,7784-08-9
氢化铝,7784-21-6
硝酸铝,7784-27-2
三溴化砷,7784-33-0
三氯化砷,7784-34-1
三氟化砷,7784-35-2
砷酸汞,7784-37-4
砷酸钾,7784-41-0
砷酸氢二铵,7784-44-3
三碘化砷,7784-45-4
亚砷酸钠,7784-46-5
硫酸镍,7786-81-4
氟化钡,7787-32-8
高锰酸钡,7787-36-2
硒酸钡,7787-41-9
氯化铍,7787-47-5
三氟化铋,7787-61-3
五氟化铋,7787-62-4
三氟化溴,7787-71-5
氟化铬,7788-97-8
铬酸钾,7789-00-6
重铬酸铵,7789-09-5
硝酸铯,7789-18-6
氟化铜,7789-19-7
氟磺酸,7789-21-1
氟化钾,7789-23-3
氟化锂,7789-24-4
氟化氢钾,7789-29-9
五氟化溴,7789-30-2
溴酸,7789-31-3
一溴化碘,7789-33-5
溴酸镁,7789-36-8
溴酸钠,7789-38-0
溴化亚铊,7789-40-4
溴化汞,7789-47-1
溴化硒,7789-52-8
三溴化碘,7789-58-4
氧溴化磷,7789-59-5
三溴化磷,7789-60-8
三溴化锑,7789-61-9
四溴化硒,7789-65-3
四溴化锡,7789-67-5
五溴化磷,7789-69-7
氢化钙,7789-78-8
碘酸钙,7789-80-2
高碘酸钾,7790-21-8
高碘酸钠,7790-28-5
碘化亚铊,7790-30-9
碘酸锌,7790-37-6
四碘化锡,7790-47-8
硒酸钾,7790-59-2
硝酸锂,7790-69-4
氟化镉,7790-79-6
碘酸镉,7790-81-0
三氟化氯,7790-91-2
